"athlete","time","lap_nr","ind"
"df_time_ganna",16.089,43,206
"df_time_ganna",16.152,44,207
"df_time_ganna",16.155,45,208
"df_time_ganna",16.14,46,209
"df_time_ganna",16.179000000000002,47,210
"df_time_ganna",16.058,48,211
"df_time_ganna",16.227,49,212
"df_time_ganna",16.098,50,213
"df_time_ganna",16.079,51,214
"df_time_ganna",16.126,52,215
"df_time_ganna",16.039,53,216
"df_time_ganna",16.043,54,217
"df_time_ganna",16.066,55,218
"df_time_ganna",16.079,56,219
"df_time_ganna",16.029,57,220
"df_time_ganna",15.901,58,221
"df_time_ganna",15.833,59,222
"df_time_ganna",15.973,60,223
"df_time_ganna",15.973,61,224
"df_time_ganna",16.089,62,225
"df_time_ganna",16.072,63,226
"df_time_ganna",16.033,64,227
